shot_type,made_shot,shot_value,coordinate_x,coordinate_y,home_score,away_score,qtr,quarter_seconds_remaining,game_seconds_remaining,distance,shot_group,shot_group_encoded,shot_type_encoded
Jump Shot,False,0,12,9,0,0,1,571,2371,15.0,Jump Shot,4.0,41
Turnaround Bank Jump Shot,False,0,-13,0,0,0,1,551,2351,13.0,Jump Shot,4.0,24
Cutting Layup Shot,True,2,4,2,0,2,1,538,2338,4.47213595499958,Layup,2.0,11
Driving Layup Shot,True,2,-3,0,2,2,1,524,2324,3.0,Layup,2.0,15
Jump Shot,True,3,-16,21,2,5,1,512,2312,26.40075756488817,Jump Shot,4.0,41
Cutting Layup Shot,True,2,2,0,4,5,1,490,2290,2.0,Layup,2.0,11
Driving Layup Shot,True,2,-3,3,4,7,1,478,2278,4.242640687119285,Layup,2.0,15
Free Throw - 1 of 1,True,1,-214748365,-214748365,4,8,1,478,2278,303700050.28044766,Free Throw,6.0,46
Pullup Jump Shot,True,2,-13,4,6,8,1,461,2261,13.601470508735444,Jump Shot,4.0,37
Pullup Jump Shot,False,0,-12,16,6,8,1,436,2236,20.0,Jump Shot,4.0,37
Pullup Jump Shot,False,0,6,23,6,8,1,427,2227,23.769728648009426,Jump Shot,4.0,37
Jump Shot,True,2,5,9,8,8,1,423,2223,10.295630140987,Jump Shot,4.0,41
Jump Shot,False,0,17,19,8,8,1,415,2215,25.495097567963924,Jump Shot,4.0,41
Alley Oop Dunk Shot,True,2,2,3,8,10,1,401,2201,3.605551275463989,Dunk,1.0,16
Turnaround Jump Shot,True,2,1,2,10,10,1,390,2190,2.23606797749979,Jump Shot,4.0,31
Jump Shot,False,0,23,10,10,10,1,367,2167,25.079872407968907,Jump Shot,4.0,41
Driving Layup Shot,False,0,4,0,10,10,1,359,2159,4.0,Layup,2.0,15
Layup Shot,True,2,-4,0,12,10,1,330,2130,4.0,Layup,2.0,14
Layup Shot,True,2,4,3,12,12,1,316,2116,5.0,Layup,2.0,14
Jump Shot,True,3,23,-1,15,12,1,306,2106,23.021728866442675,Jump Shot,4.0,41
Pullup Jump Shot,True,2,0,17,15,14,1,297,2097,17.0,Jump Shot,4.0,37
Driving Layup Shot,True,2,-2,1,17,14,1,285,2085,2.23606797749979,Layup,2.0,15
Jump Shot,True,3,-23,-3,20,14,1,264,2064,23.194827009486403,Jump Shot,4.0,41
Jump Shot Bank,False,0,10,6,20,14,1,204,2004,11.661903789690601,,,35
Layup Shot,True,2,2,0,22,14,1,193,1993,2.0,Layup,2.0,14
Layup Shot,True,2,2,0,24,14,1,171,1971,2.0,Layup,2.0,14
Reverse Layup Shot,True,2,-3,0,26,14,1,132,1932,3.0,Layup,2.0,7
Free Throw - 1 of 1,True,1,-214748365,-214748365,27,14,1,132,1932,303700050.28044766,Free Throw,6.0,46
Driving Layup Shot,False,0,-2,3,27,14,1,118,1918,3.605551275463989,Layup,2.0,15
Layup Shot Putback,True,2,-1,3,27,16,1,114,1914,3.1622776601683795,Layup,2.0,3
Free Throw - 1 of 2,True,1,-214748365,-214748365,28,16,1,99,1899,303700050.28044766,Free Throw,6.0,45
Free Throw - 2 of 2,True,1,-214748365,-214748365,29,16,1,99,1899,303700050.28044766,Free Throw,6.0,57
Jump Shot,False,0,23,12,29,16,1,76,1876,25.942243542145693,Jump Shot,4.0,41
Pullup Jump Shot,False,0,3,20,29,16,1,46,1846,20.223748416156685,Jump Shot,4.0,37
Jump Shot,False,0,23,7,29,16,1,33,1833,24.041630560342615,Jump Shot,4.0,41
Jump Shot,False,0,0,18,29,16,1,13,1813,18.0,Jump Shot,4.0,41
Free Throw - 1 of 2,True,1,-214748365,-214748365,30,16,1,0,1800,303700050.28044766,Free Throw,6.0,45
Free Throw - 2 of 2,True,1,-214748365,-214748365,31,16,1,0,1800,303700050.28044766,Free Throw,6.0,57
Jump Shot,False,0,-13,20,31,16,2,583,1783,23.853720883753127,Jump Shot,4.0,41
Jump Shot,False,0,-23,0,31,16,2,567,1767,23.0,Jump Shot,4.0,41
Driving Layup Shot,True,2,-2,3,31,18,2,560,1760,3.605551275463989,Layup,2.0,15
Layup Shot,False,0,-4,3,31,18,2,546,1746,5.0,Layup,2.0,14
Jump Shot,False,0,-17,19,31,18,2,526,1726,25.495097567963924,Jump Shot,4.0,41
Pullup Jump Shot,False,0,8,19,31,18,2,506,1706,20.615528128088304,Jump Shot,4.0,37
Pullup Jump Shot,False,0,-1,14,31,18,2,488,1688,14.035668847618199,Jump Shot,4.0,37
Hook Shot,False,0,5,2,31,18,2,478,1678,5.385164807134504,Hook Shot,3.0,21
Pullup Jump Shot,False,0,1,17,31,18,2,473,1673,17.029386365926403,Jump Shot,4.0,37
Reverse Layup Shot,False,0,3,2,31,18,2,457,1657,3.605551275463989,Layup,2.0,7
Jump Shot,False,0,-19,15,31,18,2,449,1649,24.20743687382041,Jump Shot,4.0,41
Running Layup Shot,False,0,4,0,31,18,2,441,1641,4.0,Layup,2.0,10
Jump Shot,False,0,-1,25,31,18,2,420,1620,25.019992006393608,Jump Shot,4.0,41
Free Throw - 1 of 2,True,1,-214748365,-214748365,32,18,2,397,1597,303700050.28044766,Free Throw,6.0,45
Free Throw - 2 of 2,True,1,-214748365,-214748365,33,18,2,397,1597,303700050.28044766,Free Throw,6.0,57
Step Back Jump Shot,True,2,5,17,33,20,2,375,1575,17.72004514666935,Jump Shot,4.0,39
Turnaround Fade Away Jump Shot,True,2,-1,4,35,20,2,357,1557,4.123105625617661,Jump Shot,4.0,32
Free Throw - 1 of 1,False,0,-214748365,-214748365,35,20,2,357,1557,303700050.28044766,Free Throw,6.0,46
Free Throw - 1 of 2,True,1,-214748365,-214748365,35,21,2,340,1540,303700050.28044766,Free Throw,6.0,45
Free Throw - 2 of 2,False,0,-214748365,-214748365,35,21,2,340,1540,303700050.28044766,Free Throw,6.0,57
Fade Away Jump Shot,False,0,-15,0,35,21,2,315,1515,15.0,Jump Shot,4.0,33
Layup Shot,True,2,4,3,35,23,2,305,1505,5.0,Layup,2.0,14
Free Throw - 1 of 1,True,1,-214748365,-214748365,35,24,2,305,1505,303700050.28044766,Free Throw,6.0,46
Jump Shot Bank,False,0,5,3,35,24,2,276,1476,5.830951894845301,,,35
Free Throw - 1 of 2,True,1,-214748365,-214748365,35,25,2,268,1468,303700050.28044766,Free Throw,6.0,45
Free Throw - 2 of 2,False,0,-214748365,-214748365,35,25,2,268,1468,303700050.28044766,Free Throw,6.0,57
Layup Shot,True,2,3,-1,37,25,2,252,1452,3.1622776601683795,Layup,2.0,14
Pullup Jump Shot,False,0,17,19,37,25,2,241,1441,25.495097567963924,Jump Shot,4.0,37
Free Throw - 1 of 2,True,1,-214748365,-214748365,38,25,2,240,1440,303700050.28044766,Free Throw,6.0,45
Free Throw - 2 of 2,True,1,-214748365,-214748365,39,25,2,240,1440,303700050.28044766,Free Throw,6.0,57
Driving Layup Shot,True,2,-4,1,41,25,2,216,1416,4.123105625617661,Layup,2.0,15
Cutting Layup Shot,True,2,-5,3,41,27,2,204,1404,5.830951894845301,Layup,2.0,11
Pullup Jump Shot,False,0,-7,3,41,27,2,179,1379,7.615773105863909,Jump Shot,4.0,37
Jump Shot,False,0,23,6,41,27,2,171,1371,23.769728648009426,Jump Shot,4.0,41
Driving Layup Shot,True,2,5,3,43,27,2,161,1361,5.830951894845301,Layup,2.0,15
Free Throw - 1 of 1,True,1,-214748365,-214748365,44,27,2,161,1361,303700050.28044766,Free Throw,6.0,46
Floating Jump Shot,False,0,5,2,44,27,2,139,1339,5.385164807134504,,,30
Jump Shot,False,0,-3,24,44,27,2,132,1332,24.186773244895647,Jump Shot,4.0,41
Jump Shot,True,2,11,17,46,27,2,127,1327,20.248456731316587,Jump Shot,4.0,41
Jump Shot,False,0,13,24,46,27,2,102,1302,27.294688127912362,Jump Shot,4.0,41
Free Throw - 1 of 2,True,1,-214748365,-214748365,47,27,2,84,1284,303700050.28044766,Free Throw,6.0,45
Free Throw - 2 of 2,True,1,-214748365,-214748365,48,27,2,84,1284,303700050.28044766,Free Throw,6.0,57
Layup Shot,True,2,-3,3,48,29,2,72,1272,4.242640687119285,Layup,2.0,14
Jump Shot,True,2,3,13,50,29,2,62,1262,13.341664064126334,Jump Shot,4.0,41
Layup Shot,False,0,-6,3,50,29,2,44,1244,6.708203932499369,Layup,2.0,14
Layup Shot,True,2,1,1,50,31,2,42,1242,1.4142135623730951,Layup,2.0,14
Pullup Jump Shot,False,0,-16,17,50,31,2,32,1232,23.345235059857504,Jump Shot,4.0,37
Pullup Jump Shot,False,0,4,20,50,31,2,20,1220,20.396078054371138,Jump Shot,4.0,37
Free Throw - 1 of 2,True,1,-214748365,-214748365,51,31,3,581,1181,303700050.28044766,Free Throw,6.0,45
Free Throw - 2 of 2,True,1,-214748365,-214748365,52,31,3,581,1181,303700050.28044766,Free Throw,6.0,57
Step Back Jump Shot,False,0,2,17,52,31,3,563,1163,17.11724276862369,Jump Shot,4.0,39
Layup Shot Putback,True,2,-4,0,52,33,3,558,1158,4.0,Layup,2.0,3
Jump Shot,False,0,-12,24,52,33,3,544,1144,26.832815729997478,Jump Shot,4.0,41
Turnaround Jump Shot,False,0,0,6,52,33,3,532,1132,6.0,Jump Shot,4.0,31
Jump Shot,False,0,-18,20,52,33,3,519,1119,26.90724809414742,Jump Shot,4.0,41
Hook Shot,False,0,-5,7,52,33,3,496,1096,8.602325267042627,Hook Shot,3.0,21
Jump Shot,False,0,-5,27,52,33,3,484,1084,27.459060435491963,Jump Shot,4.0,41
Pullup Jump Shot,True,2,14,-1,52,35,3,471,1071,14.035668847618199,Jump Shot,4.0,37
Driving Layup Shot,True,2,-3,2,54,35,3,450,1050,3.605551275463989,Layup,2.0,15
Layup Shot,True,2,-2,1,54,37,3,435,1035,2.23606797749979,Layup,2.0,14
Pullup Jump Shot,True,2,-15,3,56,37,3,411,1011,15.297058540778355,Jump Shot,4.0,37
Step Back Jump Shot,True,3,2,26,56,40,3,391,991,26.076809620810597,Jump Shot,4.0,39
Jump Shot,True,3,15,22,59,40,3,375,975,26.627053911388696,Jump Shot,4.0,41
Pullup Jump Shot,False,0,-7,13,59,40,3,364,964,14.7648230602334,Jump Shot,4.0,37
Driving Floating Jump Shot,True,2,-3,5,59,42,3,355,955,5.830951894845301,,,27
Pullup Jump Shot,False,0,-10,9,59,42,3,338,938,13.45362404707371,Jump Shot,4.0,37
Fade Away Jump Shot,False,0,-3,3,59,42,3,317,917,4.242640687119285,Jump Shot,4.0,33
Driving Layup Shot,False,0,5,3,59,42,3,282,882,5.830951894845301,Layup,2.0,15
Free Throw - 1 of 2,False,0,-214748365,-214748365,59,42,3,267,867,303700050.28044766,Free Throw,6.0,45
Free Throw - 2 of 2,True,1,-214748365,-214748365,59,43,3,267,867,303700050.28044766,Free Throw,6.0,57
Free Throw - 1 of 2,True,1,-214748365,-214748365,60,43,3,258,858,303700050.28044766,Free Throw,6.0,45
Free Throw - 2 of 2,True,1,-214748365,-214748365,61,43,3,258,858,303700050.28044766,Free Throw,6.0,57
Jump Shot,False,0,-20,13,61,43,3,246,846,23.853720883753127,Jump Shot,4.0,41
Jump Shot,True,3,18,22,61,46,3,242,842,28.42534080710379,Jump Shot,4.0,41
Pullup Jump Shot,False,0,-1,21,61,46,3,229,829,21.02379604162864,Jump Shot,4.0,37
Driving Floating Jump Shot,True,2,6,8,61,48,3,213,813,10.0,,,27
Jump Shot,False,0,-2,27,61,48,3,193,793,27.073972741361768,Jump Shot,4.0,41
Jump Shot,False,0,-7,24,61,48,3,180,780,25.0,Jump Shot,4.0,41
Pullup Jump Shot,False,0,-3,16,61,48,3,166,766,16.278820596099706,Jump Shot,4.0,37
Jump Shot,False,0,23,8,61,48,3,158,758,24.351591323771842,Jump Shot,4.0,41
Pullup Jump Shot,False,0,1,26,61,48,3,148,748,26.019223662515376,Jump Shot,4.0,37
Jump Shot,False,0,21,11,61,48,3,133,733,23.706539182259394,Jump Shot,4.0,41
Pullup Jump Shot,True,2,9,14,61,50,3,108,708,16.64331697709324,Jump Shot,4.0,37
Driving Floating Jump Shot,False,0,7,7,61,50,3,79,679,9.899494936611665,,,27
Driving Floating Jump Shot,False,0,9,7,61,50,3,56,656,11.40175425099138,,,27
Layup Shot Putback,True,2,0,0,61,52,3,54,654,0.0,Layup,2.0,3
Jump Shot,True,3,2,26,64,52,3,41,641,26.076809620810597,Jump Shot,4.0,41
Jump Shot,False,0,21,15,64,52,3,29,629,25.80697580112788,Jump Shot,4.0,41
Pullup Jump Shot,False,0,4,14,64,52,3,3,603,14.560219778561036,Jump Shot,4.0,37
Jump Shot,False,0,15,39,64,52,3,0,600,41.78516483155236,Jump Shot,4.0,41
Jump Shot,True,3,17,23,64,55,4,583,583,28.600699292150182,Jump Shot,4.0,41
Pullup Jump Shot,False,0,-15,11,64,55,4,555,555,18.601075237738275,Jump Shot,4.0,37
Jump Shot,False,0,21,1,64,55,4,548,548,21.02379604162864,Jump Shot,4.0,41
Pullup Jump Shot,False,0,16,4,64,55,4,537,537,16.492422502470642,Jump Shot,4.0,37
Driving Finger Roll Layup,True,2,1,4,66,55,4,525,525,4.123105625617661,Layup,2.0,13
Driving Layup Shot,False,0,5,3,66,55,4,496,496,5.830951894845301,Layup,2.0,15
Pullup Jump Shot,True,2,7,16,66,57,4,490,490,17.46424919657298,Jump Shot,4.0,37
Turnaround Jump Shot,True,2,-4,7,68,57,4,469,469,8.06225774829855,Jump Shot,4.0,31
Free Throw - 1 of 1,True,1,-214748365,-214748365,69,57,4,469,469,303700050.28044766,Free Throw,6.0,46
Layup Shot,True,2,-3,0,69,59,4,455,455,3.0,Layup,2.0,14
Layup Shot,True,2,-1,0,69,61,4,442,442,1.0,Layup,2.0,14
Pullup Jump Shot,True,2,-13,11,71,61,4,421,421,17.029386365926403,Jump Shot,4.0,37
Jump Shot,False,0,22,9,71,61,4,404,404,23.769728648009426,Jump Shot,4.0,41
Driving Layup Shot,False,0,5,4,71,61,4,392,392,6.4031242374328485,Layup,2.0,15
Pullup Jump Shot,True,2,10,11,71,63,4,370,370,14.866068747318506,Jump Shot,4.0,37
Layup Shot,False,0,-2,2,71,63,4,347,347,2.8284271247461903,Layup,2.0,14
Layup Shot Putback,True,2,-4,-1,71,65,4,342,342,4.123105625617661,Layup,2.0,3
Jump Shot,False,0,-14,24,71,65,4,330,330,27.784887978899608,Jump Shot,4.0,41
Layup Shot,True,2,3,3,73,65,4,319,319,4.242640687119285,Layup,2.0,14
Pullup Jump Shot,False,0,-19,16,73,65,4,307,307,24.839484696748443,Jump Shot,4.0,37
Pullup Jump Shot,False,0,-13,11,73,65,4,295,295,17.029386365926403,Jump Shot,4.0,37
Hook Shot,False,0,4,4,73,65,4,273,273,5.656854249492381,Hook Shot,3.0,21
Jump Shot,False,0,18,22,73,65,4,263,263,28.42534080710379,Jump Shot,4.0,41
Pullup Jump Shot,True,2,-14,8,75,65,4,240,240,16.1245154965971,Jump Shot,4.0,37
Driving Layup Shot,False,0,4,0,75,65,4,218,218,4.0,Layup,2.0,15
Jump Shot,False,0,-21,6,75,65,4,211,211,21.840329667841555,Jump Shot,4.0,41
Free Throw - 1 of 2,True,1,-214748365,-214748365,76,65,4,204,204,303700050.28044766,Free Throw,6.0,45
Free Throw - 2 of 2,False,0,-214748365,-214748365,76,65,4,204,204,303700050.28044766,Free Throw,6.0,57
Driving Layup Shot,True,2,1,3,78,65,4,200,200,3.1622776601683795,Layup,2.0,15
Fade Away Jump Shot,False,0,-12,3,78,65,4,155,155,12.36931687685298,Jump Shot,4.0,33
Pullup Jump Shot,False,0,-1,16,78,65,4,141,141,16.0312195418814,Jump Shot,4.0,37
Pullup Jump Shot,True,2,17,8,80,65,4,124,124,18.788294228055936,Jump Shot,4.0,37
Driving Layup Shot,True,2,5,2,82,65,4,111,111,5.385164807134504,Layup,2.0,15
Alley Oop Layup Shot,True,2,-3,3,84,65,4,104,104,4.242640687119285,Layup,2.0,9
Pullup Jump Shot,False,0,17,2,84,65,4,90,90,17.11724276862369,Jump Shot,4.0,37
Jump Shot,False,0,16,0,84,65,4,78,78,16.0,Jump Shot,4.0,41
Turnaround Fade Away Jump Shot,False,0,-14,7,84,65,4,67,67,15.652475842498529,Jump Shot,4.0,32
Jump Shot,False,0,-1,29,84,65,4,50,50,29.017236257093817,Jump Shot,4.0,41
Floating Jump Shot,True,2,0,1,84,67,4,37,37,1.0,,,30
Layup Shot,False,0,1,7,84,67,4,19,19,7.0710678118654755,Layup,2.0,14
Pullup Jump Shot,True,3,-3,25,84,70,4,11,11,25.179356624028344,Jump Shot,4.0,37
Jump Shot,True,2,11,1,0,2,1,576,2376,11.045361017187261,Jump Shot,4.0,41
Pullup Jump Shot,False,0,9,16,0,2,1,563,2363,18.35755975068582,Jump Shot,4.0,37
Jump Shot,False,0,22,9,0,2,1,547,2347,23.769728648009426,Jump Shot,4.0,41
Driving Floating Jump Shot,False,0,4,8,0,2,1,531,2331,8.94427190999916,,,27
Jump Shot,False,0,-11,23,0,2,1,516,2316,25.495097567963924,Jump Shot,4.0,41
Jump Shot,True,3,22,4,3,2,1,495,2295,22.360679774997898,Jump Shot,4.0,41
Turnaround Jump Shot,True,2,12,7,5,2,1,470,2270,13.892443989449804,Jump Shot,4.0,31
Free Throw - 1 of 2,True,1,-214748365,-214748365,6,2,1,450,2250,303700050.28044766,Free Throw,6.0,45
Free Throw - 2 of 2,True,1,-214748365,-214748365,7,2,1,450,2250,303700050.28044766,Free Throw,6.0,57
Jump Shot,False,0,15,1,7,2,1,435,2235,15.033296378372908,Jump Shot,4.0,41
Jump Shot,True,3,13,21,10,2,1,422,2222,24.698178070456937,Jump Shot,4.0,41
Cutting Layup Shot,True,2,1,1,12,2,1,394,2194,1.4142135623730951,Layup,2.0,11
Pullup Jump Shot,True,2,-10,16,12,4,1,380,2180,18.867962264113206,Jump Shot,4.0,37
Turnaround Jump Shot,False,0,4,0,12,4,1,354,2154,4.0,Jump Shot,4.0,31
Layup Shot,False,0,2,0,12,4,1,344,2144,2.0,Layup,2.0,14
Layup Shot Putback,False,0,0,0,12,4,1,344,2144,0.0,Layup,2.0,3
Jump Shot,True,3,-16,17,12,7,1,342,2142,23.345235059857504,Jump Shot,4.0,41
Driving Floating Jump Shot,False,0,-6,1,12,7,1,310,2110,6.082762530298219,,,27
Driving Layup Shot,False,0,-2,2,12,7,1,303,2103,2.8284271247461903,Layup,2.0,15
Layup Shot,True,2,-1,1,12,9,1,296,2096,1.4142135623730951,Layup,2.0,14
Free Throw - 1 of 1,True,1,-214748365,-214748365,12,10,1,296,2096,303700050.28044766,Free Throw,6.0,46
Pullup Jump Shot,True,2,5,9,14,10,1,279,2079,10.295630140987,Jump Shot,4.0,37
Jump Shot,True,3,-12,23,14,13,1,263,2063,25.942243542145693,Jump Shot,4.0,41
Free Throw - 1 of 2,True,1,-214748365,-214748365,14,14,1,227,2027,303700050.28044766,Free Throw,6.0,45
Free Throw - 2 of 2,False,0,-214748365,-214748365,14,14,1,227,2027,303700050.28044766,Free Throw,6.0,57
Floating Jump Shot,True,2,-2,6,16,14,1,209,2009,6.324555320336759,,,30
Driving Layup Shot,False,0,3,1,16,14,1,190,1990,3.1622776601683795,Layup,2.0,15
Free Throw - 1 of 2,False,0,-214748365,-214748365,16,14,1,190,1990,303700050.28044766,Free Throw,6.0,45
Free Throw - 2 of 2,True,1,-214748365,-214748365,16,15,1,190,1990,303700050.28044766,Free Throw,6.0,57
Free Throw - 1 of 2,True,1,-214748365,-214748365,17,15,1,177,1977,303700050.28044766,Free Throw,6.0,45
Free Throw - 2 of 2,True,1,-214748365,-214748365,18,15,1,177,1977,303700050.28044766,Free Throw,6.0,57
Layup Shot,False,0,0,3,18,15,1,162,1962,3.0,Layup,2.0,14
Pullup Jump Shot,False,0,-9,19,18,15,1,152,1952,21.02379604162864,Jump Shot,4.0,37
Running Jump Shot,True,3,-10,29,18,18,1,142,1942,30.675723300355934,,,40
Free Throw - 1 of 2,True,1,-214748365,-214748365,18,19,1,119,1919,303700050.28044766,Free Throw,6.0,45
Free Throw - 2 of 2,True,1,-214748365,-214748365,18,20,1,119,1919,303700050.28044766,Free Throw,6.0,57
Layup Shot,True,2,1,0,20,20,1,102,1902,1.0,Layup,2.0,14
Free Throw - 1 of 2,True,1,-214748365,-214748365,20,21,1,97,1897,303700050.28044766,Free Throw,6.0,45
Free Throw - 2 of 2,True,1,-214748365,-214748365,20,22,1,97,1897,303700050.28044766,Free Throw,6.0,57
Free Throw - 1 of 2,True,1,-214748365,-214748365,21,22,1,89,1889,303700050.28044766,Free Throw,6.0,45
Free Throw - 2 of 2,True,1,-214748365,-214748365,22,22,1,89,1889,303700050.28044766,Free Throw,6.0,57
Jump Shot,False,0,-9,24,22,22,1,78,1878,25.632011235952593,Jump Shot,4.0,41
Jump Shot,True,3,21,13,25,22,1,57,1857,24.698178070456937,Jump Shot,4.0,41
Fade Away Jump Shot,False,0,-6,7,25,22,1,33,1833,9.219544457292887,Jump Shot,4.0,33
Running Layup Shot,True,2,-1,1,25,24,1,22,1822,1.4142135623730951,Layup,2.0,10
Step Back Jump Shot,False,0,15,-1,25,24,2,581,1781,15.033296378372908,Jump Shot,4.0,39
Pullup Jump Shot,True,2,7,15,27,24,2,556,1756,16.55294535724685,Jump Shot,4.0,37
Jump Shot,False,0,-16,20,27,24,2,535,1735,25.612496949731394,Jump Shot,4.0,41
Tip Shot,True,2,0,0,27,26,2,529,1729,0.0,Tip Shot,0.0,0
Driving Layup Shot,False,0,-1,0,27,26,2,518,1718,1.0,Layup,2.0,15
Driving Finger Roll Layup,True,2,1,1,27,28,2,473,1673,1.4142135623730951,Layup,2.0,13
Jump Shot,False,0,19,16,27,28,2,462,1662,24.839484696748443,Jump Shot,4.0,41
Cutting Layup Shot,True,2,-1,1,29,28,2,420,1620,1.4142135623730951,Layup,2.0,11
Cutting Layup Shot,False,0,1,2,29,28,2,371,1571,2.23606797749979,Layup,2.0,11
Running Pullup Jump Shot,True,2,-15,15,29,30,2,365,1565,21.213203435596427,,,38
Cutting Layup Shot,True,2,0,1,31,30,2,349,1549,1.0,Layup,2.0,11
Jump Shot,False,0,-16,19,31,30,2,319,1519,24.839484696748443,Jump Shot,4.0,41
Jump Shot,True,3,0,25,31,33,2,310,1510,25.0,Jump Shot,4.0,41
Driving Floating Jump Shot,False,0,1,11,31,33,2,294,1494,11.045361017187261,,,27
Jump Shot,False,0,5,24,31,33,2,285,1485,24.515301344262525,Jump Shot,4.0,41
Cutting Layup Shot,False,0,-1,2,31,33,2,265,1465,2.23606797749979,Layup,2.0,11
Pullup Jump Shot,True,2,-18,8,31,35,2,257,1457,19.697715603592208,Jump Shot,4.0,37
Free Throw - 1 of 2,True,1,-214748365,-214748365,32,35,2,241,1441,303700050.28044766,Free Throw,6.0,45
Free Throw - 2 of 2,True,1,-214748365,-214748365,33,35,2,241,1441,303700050.28044766,Free Throw,6.0,57
Turnaround Jump Shot,False,0,6,1,33,35,2,227,1427,6.082762530298219,Jump Shot,4.0,31
Running Layup Shot,True,2,1,1,33,37,2,207,1407,1.4142135623730951,Layup,2.0,10
Jump Shot,False,0,9,24,33,37,2,188,1388,25.632011235952593,Jump Shot,4.0,41
Layup Shot Putback,True,2,0,0,35,37,2,183,1383,0.0,Layup,2.0,3
Driving Layup Shot,False,0,1,3,35,37,2,175,1375,3.1622776601683795,Layup,2.0,15
Jump Shot,False,0,-23,5,35,37,2,165,1365,23.53720459187964,Jump Shot,4.0,41
Jump Shot,False,0,5,25,35,37,2,147,1347,25.495097567963924,Jump Shot,4.0,41
Jump Shot,False,0,-7,16,35,37,2,124,1324,17.46424919657298,Jump Shot,4.0,41
Free Throw - 1 of 2,True,1,-214748365,-214748365,35,38,2,114,1314,303700050.28044766,Free Throw,6.0,45
Free Throw - 2 of 2,False,0,-214748365,-214748365,35,38,2,114,1314,303700050.28044766,Free Throw,6.0,57
Jump Shot,False,0,-23,-2,35,38,2,87,1287,23.08679276123039,Jump Shot,4.0,41
Driving Finger Roll Layup,True,2,0,2,37,38,2,63,1263,2.0,Layup,2.0,13
Driving Layup Shot,True,2,-1,1,37,40,2,56,1256,1.4142135623730951,Layup,2.0,15
Step Back Jump Shot,True,2,3,22,39,40,2,39,1239,22.20360331117452,Jump Shot,4.0,39
Layup Shot,True,2,-1,1,39,42,2,21,1221,1.4142135623730951,Layup,2.0,14
Jump Shot,False,0,-24,0,39,42,2,0,1200,24.0,Jump Shot,4.0,41
Jump Shot,False,0,-12,22,39,42,3,584,1184,25.059928172283335,Jump Shot,4.0,41
Free Throw - 1 of 2,True,1,-214748365,-214748365,39,43,3,570,1170,303700050.28044766,Free Throw,6.0,45
Free Throw - 2 of 2,False,0,-214748365,-214748365,39,43,3,570,1170,303700050.28044766,Free Throw,6.0,57
Free Throw - Technical,True,1,-214748365,-214748365,40,43,3,550,1150,303700050.28044766,Free Throw,6.0,49
Jump Shot,False,0,-14,20,40,43,3,543,1143,24.413111231467404,Jump Shot,4.0,41
Free Throw - 1 of 2,True,1,-214748365,-214748365,40,44,3,535,1135,303700050.28044766,Free Throw,6.0,45
Free Throw - 2 of 2,True,1,-214748365,-214748365,40,45,3,535,1135,303700050.28044766,Free Throw,6.0,57
Jump Shot,False,0,-16,20,40,45,3,513,1113,25.612496949731394,Jump Shot,4.0,41
Turnaround Fade Away Jump Shot,True,2,9,3,40,47,3,499,1099,9.486832980505138,Jump Shot,4.0,32
Jump Shot,True,3,-10,22,43,47,3,485,1085,24.166091947189145,Jump Shot,4.0,41
Layup Shot,False,0,1,0,43,47,3,472,1072,1.0,Layup,2.0,14
Driving Layup Shot,False,0,0,1,43,47,3,460,1060,1.0,Layup,2.0,15
Driving Floating Bank Jump Shot,True,2,-3,4,45,47,3,444,1044,5.0,,,25
Free Throw - 1 of 2,True,1,-214748365,-214748365,45,48,3,431,1031,303700050.28044766,Free Throw,6.0,45
Free Throw - 2 of 2,True,1,-214748365,-214748365,45,49,3,431,1031,303700050.28044766,Free Throw,6.0,57
Pullup Jump Shot,True,2,-13,15,47,49,3,421,1021,19.849433241279208,Jump Shot,4.0,37
Jump Shot,True,3,-1,24,50,49,3,400,1000,24.020824298928627,Jump Shot,4.0,41
Turnaround Fade Away Jump Shot,False,0,5,3,50,49,3,381,981,5.830951894845301,Jump Shot,4.0,32
Free Throw - 1 of 2,True,1,-214748365,-214748365,50,50,3,381,981,303700050.28044766,Free Throw,6.0,45
Free Throw - 2 of 2,True,1,-214748365,-214748365,50,51,3,381,981,303700050.28044766,Free Throw,6.0,57
Turnaround Jump Shot,True,2,7,0,52,51,3,368,968,7.0,Jump Shot,4.0,31
Running Jump Shot,True,2,2,0,54,51,3,357,957,2.0,,,40
Free Throw - 1 of 1,True,1,-214748365,-214748365,55,51,3,357,957,303700050.28044766,Free Throw,6.0,46
Layup Shot,True,2,2,0,57,51,3,310,910,2.0,Layup,2.0,14
Free Throw - 1 of 1,False,0,-214748365,-214748365,57,51,3,310,910,303700050.28044766,Free Throw,6.0,46
Free Throw - 1 of 2,True,1,-214748365,-214748365,57,52,3,274,874,303700050.28044766,Free Throw,6.0,45
Free Throw - 2 of 2,False,0,-214748365,-214748365,57,52,3,274,874,303700050.28044766,Free Throw,6.0,57
Pullup Jump Shot,True,2,0,15,59,52,3,255,855,15.0,Jump Shot,4.0,37
Jump Shot,True,3,-22,-1,59,55,3,236,836,22.02271554554524,Jump Shot,4.0,41
